Beer Name (Full),Name,Country
Evolution Craft Brewing Company Rise Up Stout,Rise Up Coffee Stout,United States
Alpine Beer Company Captain Stout,Captain Stout,United States
Hinterland Brewery Restaurant Luna Coffee Stout,Luna Coffee Stout,United States
Coronado Brewing Company Blue Bridge Coffee Stout,Blue Bridge Coffee Stout,United States
Pisgah Brewing Co. Pisgah Valdez,Valdez,United States
Right Brain Brewery CEO Stout,CEO Stout,United States
New Orleans Lager & Ale Brewing Company (NOLA) Irish Channel Stout,Irish Channel Stout,United States
Hopworks Urban Brewery Survival "7-Grain" Stout,Survival "7-Grain" Stout,United States
Kuhnhenn Brewing Company Kuhnhenn Crème Brûlée Java Stout,Crème Brûlée Java Stout,United States
Bootlegger's Brewery Black Phoenix (Chipotle Coffee Ale),Black Phoenix (Chipotle Coffee Ale),United States
Jackie O's Pub & Brewery Java The Stout,Java The Stout,United States
Olde Hickory Brewery Hickory Stick Stout,Hickory Stick Stout,United States
Spring House Brewing Company Planet Bean Coffee Stout,Planet Bean,United States
DuClaw Brewing Company Naked Fish,Naked Fish,United States
Magic Hat Brewing Company Heart Of Darkness,Heart Of Darkness,United States
Belhaven Brewery Company Ltd. Belhaven Scottish Stout,Scottish Stout,United Kingdom
Orkney Brewery Dragonhead Stout,Dragonhead Stout,United Kingdom
Brasserie Dupont sprl Monk's Stout Dupont,Monk's Stout Dupont,Belgium
Uehara Shuzou Co. Ltd. / Echigo Beer Pub Echigo Stout,Echigo Stout,Japan
Hook Norton Brewery Co. Ltd. Double Stout,Double Stout,United Kingdom
Wye Valley Brewery Dorothy Goodbody's Wholesome Stout,Dorothy Goodbody's Wholesome Stout,United Kingdom
Cooperstown Brewing Company Strike Out Stout,Strike Out Stout,United States
Ridgeway Brewing Bad King John,Bad King John,United Kingdom
Fordham Brewing Company Oyster Stout,Rosie Parks Oyster Stout,United States
Hop Back Brewery plc Hopback Entire Stout,Hopback Entire Stout,United Kingdom
Shepherd Neame Ltd Double Stout,Double Stout (2012- ),United Kingdom
"Middle Ages Brewing Co., Ltd. Blackheart Stout",Blackheart Stout,United States
Williams Brothers Brewing Company March Of The Penguins,March Of The Penguins,United Kingdom
Cannery Brewing Company Maple Stout,Maple Stout,Canada
Brasseurs Du Nord Inc. Boréale Noire,Boréale Noire,Canada
Meantime Brewing Company Limited London Stout,London Stout,United Kingdom
Magic Rock Brewing Dark Arts,Dark Arts,United Kingdom
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Extra Stout,Extra Stout,United Kingdom
Schmohz Brewing Company Bonecrusher Stout,Bonecrusher Stout,United States
Garrison Brewing Company Martello Stout,Martello Stout,Canada
Lost Rhino Brewing Company Woody Stout,Woody Stout,United States
Marshall Wharf Brewing Company / Three Tides Restaurant Pemaquid Oyster Stout,Pemaquid Oyster Stout,United States
Belhaven Brewery Company Ltd. Belhaven McCallum's Stout,McCallum's Stout,United Kingdom
Cervecera Mexicana S.A. De C.V. Potro,Potro,Mexico
Black Creek Historic Brewery Black Creek Stout,Black Creek Stout,Canada
Lancaster Brewery Company Ltd Black,Black,United Kingdom
Titanic Brewery Titanic Stout,Titanic Stout,United Kingdom
Guinness Ltd. Guinness Foreign Extra Stout,Guinness Foreign Extra Stout,Ireland
Ceylon / Lion Brewery Limited Lion Stout,Lion Stout,Sri Lanka
Ballast Point Brewing Company Indra Kunindra,Indra Kunindra,United States
Left Hand Brewing Company Fade To Black Volume 1 - Foreign Export Stout,Fade To Black - Volume 1,United States
Coopers Brewery Limited Coopers Best Extra Stout,Best Extra Stout,Australia
Ridgeway Brewing Lump Of Coal,Lump Of Coal Dark Holiday Stout,United Kingdom
Brouwerij De Dolle Brouwers De Dolle Extra Export Stout,Extra Export Stout,Belgium
Snake River Brewing Company & Brewpub Snake River Zonker Stout,Zonker Stout,United States
Desnoes & Geddes Limited Dragon Stout,Dragon Stout,Jamaica
Pelican Pub & Brewery Tsunami Stout,Tsunami Stout,United States
La Cumbre Brewing Co. Malpais Stout,Malpais Stout,United States
Flying Fish Brewing Company Exit 1,Exit 1 Bayshore Oyster Stout,United States
Cisco Brewers Inc. Captain Swain's Extra Stout,Captain Swain's Extra Stout,United States
Steel Toe Brewing Dissent,Dissent,United States
Marin Brewing Company San Quentin Breakout Stout,San Quentin's Breakout Stout,United States
Upslope Brewing Company Stout,Foreign Style Stout,United States
The Kernel Brewery Export Stout,Export Stout London 1890,United Kingdom
Brasserie De Cazeau Cazeau Tournay Noire,Cazeau Tournay Noire,Belgium
Moat Mountain Smoke House & Brewing Co. Moat Stout,Square Tail Stout,United States
Ridgeway Brewing Foreign Export Stout,Foreign Export Stout,United Kingdom
Harar Beer Factory Hakim Stout,Hakim Stout,Ethiopia
Scheldebrouwerij Oesterstout,Oesterstout,Belgium
Oggi's Pizza & Brewing Co. Black Magic Stout,Black Magic Stout,United States
Cigar City Brewing Hot Blooded Foreign Stout,Hot Blooded Foreign Stout,United States
Zero Gravity Craft Brewery / American Flatbread Extra Stout,Extra Stout,United States
Jopen Bier BV Haarlem Jopen Extra Stout,Extra Stout,Netherlands
Big City Brewing CO LTD Jamaica Stout,Jamaica Stout,United States
Crossroads Brewing Company Black Rock Stout,Black Rock Stout,United States
COAST Brewing Company Bulls Bay Oyster Stout,Bulls Bay Oyster Stout,United States
Bahamian Brewery Beverage & Co. Ltd. Strong Back Stout,Strong Back Stout,Bahamas
Guinness Nigeria PLC Guinness Foreign Extra Stout (Africa),Guinness Foreign Extra Stout (Africa),Nigeria
Kuhnhenn Brewing Company Kuhnhenn Foreign Export Stout,Foreign Export Stout,United States
Cascade Brewery Company Ltd. Cascade Export Stout,Cascade Stout,Australia
"Tsingtao Brewery Co., Ltd. Tsingtao Stout",Tsingtao Stout,China
Liberty Street Brewing Company Starkweather Stout,Starkweather Stout,United States
Ceres Brewery (Royal Unibrew) Ceres Royal Stout (Ceres Extra Strong Stout),Ceres Royal Stout (Ceres Extra Strong Stout),Denmark
Guinness Ltd. Guinness Draught,Guinness Draught,Ireland
Guinness Ltd. Guinness Extra Stout (Original),Guinness Extra Stout (Original),Ireland
Murphy Brewery Ireland Limited Murphy's Irish Stout,Murphy's Irish Stout,Ireland
North Coast Brewing Co. Old #38 Stout,Old #38 Stout,United States
Carlow Brewing Company O'Hara's Irish Stout,O'Hara's Irish Stout,Ireland
Three Floyds Brewing Co. & Brewpub Black Sun Stout,Black Sun Stout,United States
Beamish & Crawford Plc. Beamish Irish Stout,Beamish Irish Stout,Ireland
Mendocino Brewing Company Black Hawk Stout,Black Hawk Stout,United States
Brooklyn Brewery Brooklyn Dry Stout,Dry Irish Stout,United States
Yards Brewing Co. Love Stout,Love Stout,United States
Shipyard Brewing Co. Blue Fin Stout,Blue Fin Stout,United States
Guinness Ltd. Guinness Draught Extra Cold,Guinness Draught Extra Cold,Ireland
Victory Brewing Company Donnybrook Stout,Donnybrook Stout,United States
Starr Hill Brewery Dark Starr Stout,Dark Starr Stout,United States
Russian River Brewing Company O.V.L. Stout,O.V.L. Stout,United States
The Porterhouse Brewing Company Oyster Stout,Oyster Stout,Ireland
Gritty McDuff's Brewing Company Gritty McDuff's Black Fly Stout,Black Fly Stout,United States
Moylan's Brewery Moylans Dragoons Dry Irish Stout,Dragoon's Irish Dry Stout,United States
Boulevard Brewing Co. Dry Stout,Dry Stout,United States
Guinness Ltd. Guinness Extra Stout (Canada),Guinness Extra Stout (Canada),Ireland
Fuller Smith & Turner PLC Black Cab,Black Cab,United Kingdom
Short's Brewing Company Short's Uncle Steve's Irish Stout,Uncle Steve's Irish Stout,United States
The Porterhouse Brewing Company Wrasslers XXXX Stout,Wrasslers XXXX Stout,Ireland
Mill Street Brew Pub Mill Street Cobblestone Stout,Cobblestone Stout,Canada
Sly Fox Brewing Company O'Reilly's Irish Stout,O'Reilly's Irish Stout,United States
Matt Brewing Company Saranac Irish Stout,Saranac Irish Stout,United States
Brasserie de la Senne Stouterik,Stouterik (The Brussels Stout),Belgium
Portsmouth Brewery Portsmouth Black Cat Stout,Portsmouth Black Cat Stout,United States
Carlow Brewing Company O'Hara's Leann Folláin,O'Hara's Leann Folláin,Ireland
Furthermore Beer Three Feet Deep,Three Feet Deep,United States
The Porterhouse Brewing Company Plain Porter,Plain Porter,Ireland
Cigar City Brewing Hillsborough River Dry Stout (Patio Tools) - Cedar Aged (Humidor Series),Hillsborough River Dry Irish Stout (Patio Tools),United States
Appalachian Brewing Company Susquehanna Stout,Susquehanna Stout,United States
Sprecher Brewing Company Irish Style Stout,Irish Style Stout,United States
Le Trou Du Diable La Sang-d'encre,La Sang-d'encre,Canada
The Porterhouse Brewing Company Celebration Stout,Celebration Stout,Ireland
Empire Brewing Company Black Magic Stout,Black Magic Stout,United States
Cigar City Brewing Hillsborough River Dry Stout (Patio Tools),Patio Tools,United States
Christian Moerlein Brewing Company Friend Of An Irishman Stout,Friend Of An Irishman Stout,United States
Guinness Ltd. Guinness Original,Guinness Original,Ireland
Sun King Brewing Company Ring Of Dingle Irish Stout,Ring Of Dingle,United States
Public House Brewing Company Revalations Stout,Revelation Stout,United States
Founders Brewing Company Founders Breakfast Stout,Breakfast Stout,United States
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Oatmeal Stout,Oatmeal Stout,United Kingdom
Terrapin Beer Company Terrapin Coffee Oatmeal Imperial Stout,Wake-n-Bake Coffee Oatmeal Imperial Stout,United States
Rogue Ales Shakespeare Oatmeal Stout,Shakespeare Oatmeal Stout,United States
Firestone Walker Brewing Co. Velvet Merlin (Merkin),Velvet Merkin,United States
Mikkeller ApS Beer Geek Breakfast,Beer Geek Breakfast,Denmark
Anderson Valley Brewing Company Barney Flats Oatmeal Stout,Barney Flats Oatmeal Stout,United States
New Holland Brewing Company New Holland The Poet,The Poet,United States
Tröegs Brewing Company Tröegs Java Head Stout,Java Head Stout,United States
Hoppin' Frog Brewery Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,B.O.R.I.S. Oatmeal Imperial Stout - Barrel-Aged,United States
Breckenridge Brewery Oatmeal Stout,Oatmeal Stout,United States
McAuslan Brewing St-Ambroise Oatmeal Stout,St-Ambroise Oatmeal Stout,Canada
Founders Brewing Company Founders Oatmeal Stout,Oatmeal Stout,United States
Lost Coast Brewery and Cafe 8 Ball Stout,8 Ball Stout,United States
Dark Horse Brewing Company Dark Horse One Oatmeal Stout Ale,One Oatmeal Stout,United States
Elysian Brewing Company Dragon's Tooth Oatmeal Stout,Dragonstooth Stout,United States
Ipswich Ale Brewery Ipswich Oatmeal Stout,Ipswich Oatmeal Stout,United States
Trader Joe's Brewing Company Trader Joe's Stockyard Oatmeal Stout,Trader Joe's Stockyard Oatmeal Stout,United States
Ninkasi Brewing Company Oatis,Oatis,United States
Ninkasi Brewing Company Vanilla Oatis,Vanilla Oatis,United States
Mikkeller ApS Beer Geek Bacon,Beer Geek Bacon,Denmark
Goose Island Beer Co. Oatmeal Stout,Oatmeal Stout,United States
Buffalo Bill's Brewery Buffalo Bill's Blueberry Oatmeal Stout,Buffalo Bill's Blueberry Oatmeal Stout,United States
Boulder Beer / Wilderness Pub Bourbon Barrel Obovoid,Obovoid,United States
Independence Brewing Co. Convict Hill Oatmeal Stout,Convict Hill Oatmeal Stout,United States
Great Lakes Brewing Company Great Lakes Ohio City Oatmeal Stout,Ohio City Oatmeal Stout,United States
Good People Brewing Company Coffee Oatmeal Stout,Coffee Oatmeal Stout,United States
Alaskan Brewing Co. Alaskan Stout,Stout,United States
Summit Brewing Company Summit Oatmeal Stout,Oatmeal Stout,United States
Oakshire Brewing Overcast Espresso Stout,Overcast Espresso Stout,United States
Fremont Brewing Company Dark Star Oatmeal Stout,Dark Star,United States
Tyranena Brewing Company Down 'N Dirty Chocolate Oatmeal Stout,Down 'N Dirty Chocolate Oatmeal Stout,United States
North Coast Brewing Co. Old Rasputin XI,Old Rasputin,United States
Firestone Walker Brewing Co. Parabola,Parabola,United States
Brooklyn Brewery Brooklyn Black Chocolate Stout,Black Chocolate Stout,United States
Sierra Nevada Brewing Co. Sierra Nevada Imperial Stout,Narwhal Imperial Stout,United States
Three Floyds Brewing Co. & Brewpub Dark Lord Imperial Stout,Dark Lord Imperial Stout,United States
Surly Brewing Company Darkness,Darkness,United States
Dark Horse Brewing Company Plead The 5th Imperial Stout,Plead The 5th Imperial Stout,United States
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Imperial Stout,Imperial Stout,United Kingdom
Great Lakes Brewing Company Great Lakes Blackout Stout,Blackout Stout,United States
Dark Horse Brewing Company Dark Horse Bourbon Barrel Aged Plead The 5th,Bourbon Barrel Aged Plead The 5th,United States
Cigar City Brewing Marshal Zhukov's Imperial Stout,Marshal Zhukov's Imperial Stout,United States
Hoppin' Frog Brewery B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,B.O.R.I.S. The Crusher,United States
Brooklyn Brewery Brooklyn Black OPS,Black OPS,United States
Lagunitas Brewing Company Black Rain Imperial Stout,Imperial Stout,United States
Thirsty Dog Brewing Company Siberian Night Imperial Stout,Siberian Night Imperial Stout,United States
Great Lakes Brewing Company Great Lakes Barrel-Aged Blackout Stout,Blackout Stout - Barrel-Aged,United States
De Struise Brouwers Black Albert,Black Albert,Belgium
Clown Shoes Blaecorn Unidragon,Blaecorn Unidragon,United States
Boston Beer Company (Samuel Adams) Samuel Adams Imperial Stout,Samuel Adams Imperial Stout,United States
Heavy Seas Beer Heavy Seas - Peg Leg (Imperial Stout),Peg Leg Imperial Stout,United States
Foothills Brewing Company Sexual Chocolate,Sexual Chocolate,United States
Hoppin' Frog Brewery D.O.R.I.S. The Destroyer Double Imperial Stout,D.O.R.I.S. The Destroyer,United States
New England Brewing Co. Imperial Stout Trooper,Imperial Stout Trooper,United States
Rogue Ales Imperial Stout,Imperial Stout,United States
Foothills Brewing Company Barrel Aged Sexual Chocolate,Sexual Chocolate - Barrel-Aged,United States
Smuttynose Brewing Company Smuttynose Imperial Stout (Big Beer Series),Smuttynose Imperial Stout (Big Beer Series),United States
Thirsty Dog Brewing Company Bourbon Barrel Aged Siberian Night,Bourbon Barrel Aged Siberian Night Imperial Stout,United States
Jackie O's Pub & Brewery Dark Apparition,Dark Apparition,United States
Left Hand Brewing Company Wake Up Dead,Wake Up Dead,United States
Two Brothers Brewing Company Northwind Imperial Stout,Northwind,United States
Three Floyds Brewing Co. & Brewpub Oak Aged Dark Lord Imperial Stout,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),United States
Jester King Craft Brewery Black Metal Imperial Stout,Black Metal Farmhouse Imperial Stout,United States
Nøgne Ø - Det Kompromissløse Bryggeri A/S Imperial Stout,Imperial Stout,Norway
The Duck-Rabbit Craft Brewery Duck-Rabbit Rabid Duck,Rabid Duck,United States
Big Sky Brewing Company Ivan The Terrible,Ivan The Terrible Imperial Stout - Barrel-Aged,United States
Left Hand Brewing Company Left Hand Milk Stout,Milk Stout,United States
Boston Beer Company (Samuel Adams) Samuel Adams Cream Stout,Samuel Adams Cream Stout,United States
Terrapin Beer Company Terrapin Moo-Hoo Chocolate Milk Stout,Moo-Hoo Chocolate Milk Stout,United States
Southern Tier Brewing Company 2X Stout,2XSTOUT,United States
The Duck-Rabbit Craft Brewery Duck-Rabbit Milk Stout,Milk Stout,United States
Three Floyds Brewing Co. & Brewpub Moloko,Moloko,United States
Hardywood Park Craft Brewery Gingerbread Stout,Gingerbread Stout,United States
Lancaster Brewing Company Milk Stout,Milk Stout,United States
Dark Horse Brewing Company Dark Horse Too Cream Stout,Too Cream Stout,United States
St. Peter's Brewery Co Ltd St. Peter's Cream Stout,Cream Stout,United Kingdom
Saugatuck Brewing Company Neapolitan Milk Stout,Neapolitan Milk Stout,United States
Breckenridge Brewery 72 Imperial Chocolate Cream Stout,72 Imperial Chocolate Cream Stout,United States
Butternuts Beer & Ale Moo Thunder Stout,Moo Thunder Stout Farmhouse Ale,United States
Keegan Ales Mothers Milk Stout,Mother's Milk Stout,United States
Whitbread PLC Mackeson Triple XXX Stout,Mackeson Triple XXX Stout,United Kingdom
River Horse Brewing Co. Oatmeal Milk Stout Ale Redux,Oatmeal Milk Stout,United States
Brau Brothers Brewing Co. LLC Moo Joos,Moo Joos,United States
Lagunitas Brewing Company Brown Shugga',Brown Shugga',United States
Lagunitas Brewing Company Undercover Investigation Shut-down Ale,Undercover Investigation Shut-down Ale,United States
Lagunitas Brewing Company Hairy Eyeball Ale,The Hairy Eyeball,United States
Boston Beer Company (Samuel Adams) Samuel Adams Utopias,Samuel Adams Utopias,United States
The Bruery Melange No. 3,Mélange No. 3,United States
The Lost Abbey Deliverance,Deliverance,United States
The Lost Abbey The Angel's Share - Bourbon Barrel-Aged,The Angel's Share - Bourbon Barrel-Aged,United States
Hair of the Dog Brewing Company / Brewery and Tasting Room Fred,Fred,United States
Sierra Nevada Brewing Co. Life & Limb,Life and Limb,United States
Fremont Brewing Company Bourbon Barrel Abominable,B-Bomb (Bourbon Abominable Winter Ale),United States
Rogue Ales Double Dead Guy Ale,Double Dead Guy Ale,United States
Boulevard Brewing Co. Chocolate Ale,Chocolate Ale,United States
Mendocino Brewing Company Eye of the Hawk,Eye of the Hawk,United States
Hair of the Dog Brewing Company / Brewery and Tasting Room Matt,Matt,United States
The Lost Abbey The Angel's Share - Brandy Barrel-Aged,The Angel's Share - Brandy Barrel-Aged,United States
Avery Brewing Company Ale To The Chief,Ale To The Chief,United States
Hair of the Dog Brewing Company / Brewery and Tasting Room Fred From The Wood,Fred From The Wood,United States
RJ Rockers Brewing Company Bell Ringer,Bell Ringer,United States
Hair of the Dog Brewing Company / Brewery and Tasting Room Bourbon Fred From The Wood,Bourbon Fred From The Wood,United States
Lawson's Finest Liquids Maple Tripple Ale,Maple Tripple Ale,United States
"Middle Ages Brewing Co., Ltd. Wailing Wench",Wailing Wench,United States
Iron Horse Brewery Quilter's Irish Death,Quilter's Irish Death,United States
Long Trail Brewing Co. Triple Bag,Triple Bag,United States
Shmaltz Brewing Company He'Brew Origin Pomegranate Ale,He'Brew Origin Pomegranate Ale,United States
Cold Spring Brewing Co. John Henry 3 Lick Spiker Ale,John Henry 3 Lick Spiker Ale,United States
Ballast Point Brewing Company Barmy Ale,Barmy,United States
Minhas Craft Brewery Boatswain H.L.V. Ale (Heavy Lift Vessel),Boatswain H.L.V. Ale (Heavy Lift Vessel),United States
Berkshire Brewing Company Inc. Raspberry Strong Ale,Raspberry Strong Ale,United States
10 Barrel Brewing Co. Pray For Snow,Pray For Snow,United States
DuClaw Brewing Company Colossus,Colossus,United States
FiftyFifty Brewing Co. BART,BART,United States
Keegan Ales Super Kitty,Super Kitty,United States
Bières de Chimay S.A. Chimay Grande Réserve (Blue),Grande Réserve (Blue),Belgium
Brasserie de Rochefort Trappistes Rochefort 8,Trappistes Rochefort 8,Belgium
Unibroue Trois Pistoles,Trois Pistoles,Canada
Dogfish Head Brewery Raison D'etre,Raison D'Être,United States
Brouwerij Van Steenberge N.V. Gulden Draak (Dark Triple),Gulden Draak,Belgium
Tröegs Brewing Company Tröegs Mad Elf,The Mad Elf,United States
North Coast Brewing Co. Brother Thelonious,Brother Thelonious,United States
Brouwerij Huyghe Delirium Nocturnum,Delirium Nocturnum,Belgium
Allagash Brewing Company Allagash Black,Black,United States
Brouwerij Huyghe Delirium Noël,Delirium Noël (Christmas),Belgium
Avery Brewing Company Collaboration Not Litigation Ale,Collaboration Not Litigation Ale,United States
Dogfish Head Brewery Raison D'extra,Raison D'Extra,United States
21st Amendment Brewery Monk's Blood,Monk's Blood,United States
Brooklyn Brewery Brooklyn Local 2,Local 2,United States
Brasserie d'Achouffe N'Ice Chouffe,N'Ice Chouffe,Belgium
Brouwerij Corsendonk Corsendonk Christmas Ale,Corsendonk Christmas Ale,Belgium
Russian River Brewing Company Salvation,Salvation,United States
Brasserie d'Achouffe McChouffe,McChouffe,Belgium
Unibroue 17 Grande Réserve,17 Grande Réserve,Canada
Brouwerij De Dolle Brouwers De Dolle Oerbier,Oerbier,Belgium
Jolly Pumpkin Artisan Ales Noel De Calabaza,Noel De Calabaza,United States
AleSmith Brewing Company AleSmith Grand Cru Ale,Grand Cru,United States
The Lost Abbey 10 Commandments,10 Commandments,United States
Brasserie Caracole Nostradamus,Nostradamus,Belgium
Brouwerij Het Anker Gouden Carolus Classic,Gouden Carolus Classic,Belgium
Brouwerij Het Anker Gouden Carolus Noël / Christmas,Gouden Carolus Noël / Christmas,Belgium
Brasserie de l'Abbaye des Rocs s.a. Abbaye Des Rocs Grand Cru Belgian Special Brown,Abbaye Des Rocs Grand Cru Belgian Special Brown,Belgium
Kiuchi Brewery Hitachino Nest Extra High (XH),Hitachino Nest Extra High (XH),Japan
Allagash Brewing Company Allagash Grand Cru,Grand Cru,United States
Brouwerij De Smedt / Brouwerij Affligem Affligem Noël,Affligem Noël,Belgium
Brasserie de l'Abbaye des Rocs s.a. Abbaye Des Rocs,Abbaye Des Rocs,Belgium
Brouwerij der St. Benedictusabdij de Achelse Achel Trappist Extra,Achel Trappist Extra,Belgium
Brasserie de l'Abbaye des Rocs s.a. Brasserie Des Rocs Triple Impériale,Brasserie Des Rocs Triple Impériale,Belgium
Green Flash Brewing Co. Green Flash Grand Cru,Green Flash Grand Cru,United States
Brouwerij Het Anker Gouden Carolus Ambrio,Gouden Carolus Ambrio,Belgium
Brasserie St. Feuillien St. Feuillien Cuvée De Noël,St. Feuillien Cuvée De Noël,Belgium
Brouwerij Van Steenberge N.V. Leute Bok,Leute Bok,Belgium
Brasserie Dupont sprl Moinette Brune,Moinette Brune,Belgium
Abbaye de Leffe S.A. Leffe Radieuse,Leffe Radieuse,Belgium
Midnight Sun Brewing Co. Monk's Mistress,Monk's Mistress,United States
Captain Lawrence Brewing Co. Nor' Easter,Nor' Easter Winter Warmer,United States
Brouwerij Duvel Moortgat NV Duvel,Duvel,Belgium
Brouwerij Huyghe Delirium Tremens,Delirium Tremens,Belgium
Goose Island Beer Co. Matilda,Matilda,United States
Russian River Brewing Company Damnation,Damnation,United States
North Coast Brewing Co. Pranqster,Pranqster,United States
Brasserie d'Achouffe La Chouffe,La Chouffe (Blonde),Belgium
Brouwerij Van Steenberge N.V. Piraat 9,Piraat,Belgium
Brooklyn Brewery Brooklyn Local 1,Local 1,United States
The Bruery Mischief,Mischief,United States
Brouwerij Bosteels Pauwel Kwak,Kwak,Belgium
Brewery Ommegang Gnomegang,Gnomegang,United States
Brouwerij De Dolle Brouwers De Dolle Stille Nacht,Stille Nacht,Belgium
AleSmith Brewing Company AleSmith Horny Devil,Horny Devil,United States
Allagash Brewing Company Allagash Confluence Ale,Confluence Ale,United States
New England Brewing Co. 668 The Neighbor Of The Beast,668 Neighbor Of The Beast,United States
Bierbrouwerij De Koningshoeven B.V. La Trappe Isid'or,La Trappe Isid'or,Netherlands
The Lost Abbey Inferno Ale,Inferno Ale,United States
Kiuchi Brewery Hitachino Nest Red Rice Ale,Hitachino Nest Red Rice Ale,Japan
Dogfish Head Brewery Faithfull Ale,Faithfull Ale,United States
Great Divide Brewing Company Hades Ale,Hades Ale,United States
Brouwerij De Dolle Brouwers De Dolle Arabier,Arabier,Belgium
De Proefbrouwerij (bvba Andelot) Reinaert Flemish Wild Ale,Reinaert Flemish Wild Ale,Belgium
Flying Fish Brewing Company Grand Cru Winter Reserve,Grand Cru Winter Reserve,United States
Brasserie Dupont sprl Moinette Blond,Moinette Blond,Belgium
Brouwerij Het Anker Lucifer,Lucifer,Belgium
Brouwerij De Dolle Brouwers De Dolle Bos Keun,Boskeun,Belgium
Allagash Brewing Company Allagash Victoria Ale,Victoria Ale,United States
Allagash Brewing Company Allagash Victor Ale,Victor Ale,United States
North Coast Brewing Co. Grand Cru,Grand Cru,United States
Brasserie Grain d'Orge (Brasserie Jeanne d'Arc SA) Belzebuth,Belzebuth,France
Mikkeller ApS It's Alive!,It's Alive!,Denmark
Brouwerij De Landtsheer NV Malheur 10°,Malheur 10°,Belgium
Brasserie Lefèbvre SA Barbãr (Belgian Honey Ale),Barbãr (Belgian Honey Ale),Belgium
Nebraska Brewing Company Melange A Trois Reserve Series Aged In French Oak Chardonnay Barrels,Melange A Trois - Reserve Series Aged In French Oak Chardonnay Barrels,United States
Brouwerij Huyghe La Guillotine,La Guillotine,Belgium
Southampton Publick House Southampton Grand Cru,Southampton Grand Cru,United States
Brouwerij van Hoegaarden Hoegaarden Grand Cru,Hoegaarden Grand Cru,Belgium
Three Floyds Brewing Co. & Brewpub Alpha Kong,Alpha Kong,United States
Brasserie St. Feuillien St. Feuillien Grand Cru,St. Feuillien Grand Cru,Belgium
Unibroue La Seigneuriale,Seigneuriale,Canada
Alltech’s Lexington Brewing and Distilling Co. Kentucky Bourbon Barrel Ale,Kentucky Bourbon Barrel Ale,United States
Dogfish Head Brewery Immort Ale,Immort Ale,United States
Fuller Smith & Turner PLC Fuller's 1845,Fuller's 1845,United Kingdom
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Yorkshire Stingo,Yorkshire Stingo,United Kingdom
Lake Placid Craft Brewing Company Ubu Ale,Ubu Ale,United States
D.L. Geary Brewing Company Geary's Hampshire Special Ale,Geary's Hampshire Special Ale,United States
Wychwood Brewery Company Ltd King Goblin,King Goblin,United Kingdom
"Adnams plc, Sole Bay Brewery Adnams Broadside",Adnams Broadside,United Kingdom
Coopers Brewery Limited Coopers Extra Strong Vintage Ale,Extra Strong Vintage Ale,Australia
Greene King / Morland Brewery Hen's Tooth,Hen's Tooth,United Kingdom
Black Sheep Brewery PLC Riggwelter Yorkshire Ale,Riggwelter Yorkshire Ale,United Kingdom
Ridgeway Brewing Insanely Bad Elf,Insanely Bad Elf Imperial Red Ale,United Kingdom
Greene King / Morland Brewery Old Crafty Hen,Old Crafty Hen,United Kingdom
Ridgeway Brewing Seriously Bad Elf,Seriously Bad Elf,United Kingdom
J.W. Lees & Co (Brewers) Ltd Manchester Star Ale,Manchester Star Ale,United Kingdom
Maritime Pacific Brewing Company Maritime Pacific Jolly Roger Christmas Ale,Jolly Roger Christmas Ale,United States
Thornbridge Brewery Bracia,Bracia,United Kingdom
J.W. Lees & Co (Brewers) Ltd Moonraker Ale,Moonraker Ale,United Kingdom
Ridgeway Brewing Reindeer's Revolt,Reindeer's Revolt,United Kingdom
Cooperstown Brewing Company Pride Of Milford Special Ale,Pride Of Milford Special Ale,United States
"Middle Ages Brewing Co., Ltd. Wizard's Winter Ale",Wizard's Winter Ale,United States
Hook Norton Brewery Co. Ltd. Twelve Days,Twelve Days,United Kingdom
The Porterhouse Brewing Company Brainblasta,An Brain Blásta,Ireland
Element Brewing Company Extra Special Oak (ESO),Extra Special Oak (ESO),United States
W.H. Brakspear & Sons plc Triple,Triple,United Kingdom
Daleside Brewery Monkey Wrench Strong Ale,Monkey Wrench Strong Ale,United Kingdom
Daleside Brewery Morocco Ale,Morocco Ale,United Kingdom
Otro Mundo Brewing Company Otro Mundo Strong Red Ale,Otro Mundo Strong Red Ale,Argentina
Granite Brewery & Restaurant Peculiar,Peculiar,Canada
Tullibardine Distillery 1488 Whisky Beer,1488 Whisky Beer,United Kingdom
Otter Brewery Ltd Otter Head,Otter Head,United Kingdom
Lord Nelson Brewery Hotel Old Admiral,Old Admiral,Australia
St. Peter's Brewery Co Ltd St. Peter's The Saints Whisky Beer,The Saints Whisky Beer,United Kingdom
York Brewery Company Limited Centurion's Ghost Ale,Centurion's Ghost Ale,United Kingdom
Daleside Brewery Ripon Jewel Ale,Ripon Jewel Ale,United Kingdom
Unibroue La Fin Du Monde,La Fin Du Monde,Canada
Victory Brewing Company Golden Monkey,Golden Monkey,United States
Brouwerij Westmalle Westmalle Trappist Tripel,Westmalle Trappist Tripel,Belgium
